name	notes	ingredient	page
CHERRY BLOSSOM	TEMPUS FUGIT CREME DE CACAO	LIQUEUR (CREME DE CACAO)	80
CHERRY BLOSSOM	ANGOSTURA BITTERS	BITTERS (AROMATIC)	80
CHERRY BLOSSOM	CHERRY GARNISH	GARNISH (CHERRY)	80

MORNING GLORY ROYALE	ABSINTHE	ABSINTHE	83
MORNING GLORY ROYALE	COGNAC	BRANDY (GRAPE)	83
MORNING GLORY ROYALE	RYE	WHISKEY (RYE)	83
MORNING GLORY ROYALE	COMBIER TRIPLE SEC	LIQUEUR (ORANGE)	83
MORNING GLORY ROYALE	SIMPLE SYRUP	SYRUP (SIMPLE)	83
MORNING GLORY ROYALE	BOKER'S BITTERS OR ANGOSTURA	BITTERS (AROMATIC)	83
MORNING GLORY ROYALE	DRY SPARKLING WINE	WINE (SPARKLING)	83
MORNING GLORY ROYALE	LEMON TWIST	TWIST (LEMON)	83
MORNING GLORY ROYALE	CHERRY	GARNISH (CHERRY)	83

AURORA COCKTAIL	ABSINTHE	ABSINTHE	85
AURORA COCKTAIL	COGNAC	BRANDY (GRAPE)	85
AURORA COCKTAIL	RYE	WHISKEY (RYE)	85
AURORA COCKTAIL	ST-GERMAIN	LIQUEUR (ELDERFLOWER)	85
AURORA COCKTAIL	SIMPLE SYRUP	SYRUP (SIMPLE)	85
AURORA COCKTAIL	BOKER'S BITTERS OR ANGOSTURA	BITTERS (AROMATIC)	85
AURORA COCKTAIL	CHAMPAGNE	WINE (SPARKLING)	85
AURORA COCKTAIL	LEMON TWIST	TWIST (LEMON)	85
AURORA COCKTAIL	CHERRY	GARNISH (CHERRY)	85

THE SIDECAR	BRANDY	BRANDY (GRAPE)	86
THE SIDECAR	COMBIER TRIPLE SEC	LIQUEUR (ORANGE)	86
THE SIDECAR	FRESH LEMON JUICE	JUICE (LEMON)	86

DAIQUIRI	WHITE RUM	RUM (WHITE)	87
DAIQUIRI	FRESH LIME JUICE	JUICE (LIME)	87
DAIQUIRI	SIMPLE SYRUP	SYRUP (SIMPLE)	87
DAIQUIRI	LIME WEDGE	GARNISH (LIME WEDGE)	87

STIGGINS' DAIQUIRI #2	PLANTATION PINEAPPLE RUM	RUM (PINEAPPLE)	88
STIGGINS' DAIQUIRI #2	FRESH LIME JUICE	JUICE (LIME)	88
STIGGINS' DAIQUIRI #2	YELLOW CHARTREUSE	CHARTREUSE (YELLOW)	88
STIGGINS' DAIQUIRI #2	ANGOSTURA BITTERS	BITTERS (AROMATIC)	88
