name	notes	ingredient	page
TEA FOR TWO	BISCOTTI OR SIMILAR COOKIES	GARNISH (BISCOTTI)	269

THE TRAMP	PLYMOUTH OR SIPSMITH SLOE GIN	GIN (SLOE)	273
THE TRAMP	GIFFARD ABRICOT DU ROUSSILLON	LIQUEUR (APRICOT)	273
THE TRAMP	FRESH LIME JUICE	JUICE (LIME)	273
THE TRAMP	DRY CHAMPAGNE	WINE (SPARKLING)	273
THE TRAMP	LIME WHEEL	GARNISH (LIME WHEEL)	273

LILIKO'I ROYALE	GIN	GIN	274
LILIKO'I ROYALE	CHAMPAGNE	WINE (SPARKLING)	274
LILIKO'I ROYALE	CAMPARI	APERITIF (CAMPARI)	274
LILIKO'I ROYALE	PASSION FRUIT SYRUP	SYRUP (PASSION FRUIT)	274
LILIKO'I ROYALE	FRESH LEMON JUICE	JUICE (LEMON)	274
LILIKO'I ROYALE	EDIBLE FLOWER	GARNISH (EDIBLE FLOWER)	274
LILIKO'I ROYALE	LEMON WHEELS	GARNISH (LEMON WHEEL)	274

YELLOWBELLY COOLER	PISCO	BRANDY (PISCO)	277
YELLOWBELLY COOLER	WATERMELON MIX	MIX (WATERMELON)	277
YELLOWBELLY COOLER	AMARO MONTENEGRO	AMARO (MONTENEGRO)	277
YELLOWBELLY COOLER	MEZCAL	AGAVE (MEZCAL)	277
YELLOWBELLY COOLER	PEPPERMINT LEAF	GARNISH (PEPPERMINT)	277

NARAMATA	COGNAC	BRANDY (GRAPE)	279
NARAMATA	SWEET VERMOUTH	VERMOUTH (SWEET)	279
NARAMATA	POMMEAU DE NORMANDIE	LIQUEUR (APPLE)	279
NARAMATA	PEACH BITTERS	BITTERS (PEACH)	279
NARAMATA	ANGOSTURA BITTERS	BITTERS (AROMATIC)	279
NARAMATA	FLAMED ORANGE PEEL	TWIST (ORANGE)	279

CAESAR'S GHOST	CELERY SALT	SALT (CELERY)	280
CAESAR'S GHOST	GIN	GIN	280
CAESAR'S GHOST	AKVAVIT	AQUAVIT	280
CAESAR'S GHOST	CLAMATO MIX	MIX (CLAMATO)	280
CAESAR'S GHOST	PICKELD ASPARAGUS	GARNISH (PICKLED ASPARAGUS)	280
CAESAR'S GHOST	CHERRY TOMATOES	GARNISH (CHERRY TOMATO)	280
CAESAR'S GHOST	LIME WEDGE	GARNISH (LIME WEDGE)	280

VANCOUVER	GIN	GIN	283
VANCOUVER	SWEET VERMOUTH	VERMOUTH (SWEET)	283
VANCOUVER	BENEDICTINE	LIQUEUR (BENEDICTINE)	283
VANCOUVER	ORANGE BITTERS	BITTERS (ORANGE)	283
VANCOUVER	LEMON TWIST	TWIST (ORANGE)	283
VANCOUVER	ORANGE TWIST	TWIST (ORANGE)	283

HOTEL GEORGIA	GIN	GIN	284
HOTEL GEORGIA	FRESH LEMON JUICE	JUICE (LEMON)	284
HOTEL GEORGIA	ORGEAT SYRUP	SYRUP (ORGEAT)	284
HOTEL GEORGIA	ORANGE BLOSSOM WATER	OTHER (ORANGE BLOSSOM WATER)	284
HOTEL GEORGIA	EGG WHITE	EGG (WHITE)	284

TORONTO COCKTAIL	RYE	WHISKEY (RYE)	286
TORONTO COCKTAIL	FERNET-BRANCA	FERNET (BRANCA)	286
TORONTO COCKTAIL	SIMPLE SYRUP	SYRUP (SIMPLE)	286
TORONTO COCKTAIL	ANGOSTURA BITTERS	BITTERS (AROMATIC)	286
TORONTO COCKTAIL	FLAMED ORANGE PEEL	TWIST (ORANGE)	286

THE COCKTAIL CALLED IRVING	HENNESSY BLACK COGNAC	BRANDY (GRAPE)	289
THE COCKTAIL CALLED IRVING	GIFFARD MENTHE-PASTILLE	LIQUEUR (CREME DE MENTHE)	289
THE COCKTAIL CALLED IRVING	TEMPUS FUGIT CREME DE CACAO	LIQUEUR (CREME DE CACAO)	289
THE COCKTAIL CALLED IRVING	CHARTREUSE	CHARTREUSE (ICE CREAM)	289

MOVIE NIGHT FLOAT	ICE COLD ROOT BEER	SODA (ROOT BEER)	290
MOVIE NIGHT FLOAT	FROZEN BOURBON	WHISKEY (BOURBON)	290
MOVIE NIGHT FLOAT	POPCORN ICE CREAM	ICE CREAM (POPCORN)	290
MOVIE NIGHT FLOAT	ANGOSTURA BITTERS	BITTERS (AROMATIC)	290
MOVIE NIGHT FLOAT	RED VINES LICORICE TWIST	GARNISH (LICORICE TWIST)	290

VERTE CHAUD	PREPARED HOT CHOCOLATE	OTHER (HOT CHOCOLATE)	292
VERTE CHAUD	GREEN CHARTREUSE	CHARTREUSE (GREEN)	292
VERTE CHAUD	WET CREAM	CREAM (HEAVY)	292

MILK 'N' COOKIES	2% MILK	CREAM (2%MILK)	295
MILK 'N' COOKIES	COGNAC	BRANDY (GRAPE)	295
MILK 'N' COOKIES	DISTILLED WATER	DISTILLED WATER	295
MILK 'N' COOKIES	ARDBERG TEN YEARS OLD SINGLE MALT SCOTCH	WHISKEY (SCOTCH)	295
MILK 'N' COOKIES	TEMPUS FUGIT CREME DE CACAO	LIQUEUR (CREME DE CACAO)	295
MILK 'N' COOKIES	EGG WHITES	EGG (WHITE)	295
MILK 'N' COOKIES	HEAVY CREAM	CREAM (HEAVY)	295
MILK 'N' COOKIES	ANGOSTURA BITTERS	BITTERS (AROMATIC)	295

LAST WORD FLOAT	CHILLED DRY LIME SODA	SODA (LIME)	296
LAST WORD FLOAT	FROZEN GIN	GIN	296
LAST WORD FLOAT	CHILLED MARACHINO LIQUEUR	LIQUEUR (CHERRY)	296
LAST WORD FLOAT	GREEN CHARTREUSE ICE CREAM	CHARTREUSE (ICE CREAM)	296
LAST WORD FLOAT	LIME TWIST	TWIST (LIME)	296
