name	notes	ingredient	page
RED-HOT ALE, POKER STYLE	MALTY BUT NOT HOPPY ABBEY ALE, PREFERABLY OMMEGANG ABBEY ALE	BEER (ABBEY ALE)	187
RED-HOT ALE, POKER STYLE	SIMPLE SYRUP	SYRUP (SIMPLE)	187
RED-HOT ALE, POKER STYLE	FRESH LEMON JUICE	JUICE (LEMON)	187
RED-HOT ALE, POKER STYLE	RAPID ORANGE BITTERS	BITTERS (ORANGE)	187
RED-HOT ALE, POKER STYLE	SALINE SOLUTION	SALINE SOLUTION	187
RED-HOT ALE, POKER STYLE	ORANGE TWIST	TWIST (ORANGE)	187

RED-HOT ALE, PAN STYLE	GRANULATED SUGAR	SUGAR	187
RED-HOT ALE, PAN STYLE	COGNAC	BRANDY (GRAPE)	187
RED-HOT ALE, PAN STYLE	ABBEY ALE	BEER (ABBEY ALE)	187
RED-HOT ALE, PAN STYLE	RAPID ORANGE BITTERS	BITTERS (ORANGE)	187
RED-HOT ALE, PAN STYLE	FRESH LEMON JUICE	JUICE (LEMON)	187
RED-HOT ALE, PAN STYLE	SALINE SOLUTION	SALINE SOLUTION	187
RED-HOT ALE, PAN STYLE	ORANGE TWIST	TWIST (ORANGE)	187

RED-HOT CIDER, POKER STYLE	APPLE BRANDY, SUCH AS LAIRD'S BOTTLED IN BOND	BRANDY (APPLE)	188
RED-HOT CIDER, POKER STYLE	HARD APPLE CIDER	BEER (APPLE CIDER)	188
RED-HOT CIDER, POKER STYLE	SIMPLE SYRUP	SYRUP (SIMPLE)	188
RED-HOT CIDER, POKER STYLE	FRESH LEMON JUICE	JUICE (LEMON)	188
RED-HOT CIDER, POKER STYLE	RAPID ORANGE BITTERS	BITTERS (ORANGE)	188
RED-HOT CIDER, POKER STYLE	SALINE SOLUTION	SALINE SOLUTION	188
RED-HOT CIDER, POKER STYLE	CINNAMON STICK	SPICE (CINNAMON STICK)	188

RED-HOT CIDER, PAN STYLE	GRANULATED SUGAR	SUGAR	188
RED-HOT CIDER, PAN STYLE	APPLE BRANDY	BRANDY (APPLE)	188
RED-HOT CIDER, PAN STYLE	HARD APPLE CIDER	BEER (APPLE CIDER)	188
RED-HOT CIDER, PAN STYLE	RAPID ORANGE BITTERS	BITTERS (ORANGE)	188
RED-HOT CIDER, PAN STYLE	FRESH LEMON JUICE	JUICE (LEMON)	188
RED-HOT CIDER, PAN STYLE	SALINE SOLUTION	SALINE SOLUTION	188
RED-HOT CIDER, PAN STYLE	CINNAMON STICK	SPICE (CINNAMON STICK)	188

GLO-SOUR	TURMERIC INFUSED GIN	GIN (TURMERIC INFUSED)	200
GLO-SOUR	FRESH LIME JUICE	JUICE (LIME)	200
GLO-SOUR	SIMPLE SYRUP	SYRUP (SIMPLE)	200
GLO-SOUR	SALINE SOLUTION	SALINE SOLUTION	200
GLO-SOUR	RAPID ORANGE BITTERS	BITTERS (ORANGE)	200

LEMON PEPPER FIZZ	LEMONGRASS INFUSED VODKA	VODKA (LEMONGRASS INFUSED)	203
LEMON PEPPER FIZZ	CLARIFIED LEMON JUICE	JUICE (CLARIFIED LEMON)	203
LEMON PEPPER FIZZ	SIMPLE SYRUP	SYRUP (SIMPLE)	203
LEMON PEPPER FIZZ	RAPID BLACK PEPPER TINCTURE	TINCTURE (BLACK PEPPER)	203
LEMON PEPPER FIZZ	SALINE SOLUTION	SALINE SOLUTION	203
LEMON PEPPER FIZZ	FILTERED WATER	WATER	203

CAFE TOUBA	COFFEE INFUSED ZACAPA	RUM (ZACAPA, COFFEE INFUSED)	206
