name	notes	ingredient	page
VERMOUTH COCKTAIL	ORANGE BITTERS	BITTERS (ORANGE)	61
VERMOUTH COCKTAIL	LEMON PEEL	TWIST (LEMON)	61
VERMOUTH COCKTAIL	SODA WATER	SODA	61

PISCO SOUR	PISCO	BRANDY (PISCO)	67
PISCO SOUR	FRESH LEMON OR LIME JUICE	JUICE (LIME)	67
PISCO SOUR	SIMPLE SYRUP	SYRUP (SIMPLE)	67
PISCO SOUR	EGG WHITE	EGG (WHITE)	67
PISCO SOUR	ANGOSTURA BITTERS	BITTERS (AROMATIC)	67

BLACK GOLD	KARLSSON'S GOLD VODKA	VODKA	75
BLACK GOLD	CRACKED BLACK PEPPER	SPICE (BLACK PEPPER)	75

NO. 1 SAKE COCKTAIL	NIGORI UNFILTERED SAKE	SAKE	80
NO. 1 SAKE COCKTAIL	MANG-PEACH JUICE	JUICE (MANGO-PEACH)	80
NO. 1 SAKE COCKTAIL	VODKA	VODKA	80
NO. 1 SAKE COCKTAIL	DOMAIN DE CANTON	LIQUEUR (GINGER)	80
NO. 1 SAKE COCKTAIL	CELERY BITTERS	BITTERS (CELERY)	80

MANHATTAN	RYE	WHISKEY (RYE)	86
MANHATTAN	SWEET VERMOUTH	VERMOUTH (SWEET)	86
MANHATTAN	ANGOSTURA BITTERS	BITTERS (AROMATIC)	86
MANHATTAN	MARASCHINO CHERRY	GARNISH (CHERRY)	86

HONEY DRIP	SORGHUM SYRUP	SYRUP (SORGHUM)	93
HONEY DRIP	BOURBON	WHSIKEY (BOURBON)	93
HONEY DRIP	AMARETTO	LIQUEUR (AMARETTO)	93

DAIQUIRI	WHITE RUM	RUM (WHITE)	99
DAIQUIRI	SIMPLE SYRUP	SYRUP (SIMPLE)	99
DAIQUIRI	FRESH LIME JUICE	JUICE (LIME)	99

MOJITO Y MAS	SPEARMINT	GARNISH (MINT)	104
MOJITO Y MAS	FRESH LIME JUICE	JUICE (LIME)	104
MOJITO Y MAS	SIMPLE SYRUP	SYRUP (SIMPLE)	104
MOJITO Y MAS	WHITE RUM	RUM (WHITE)	104
MOJITO Y MAS	SODA WATER	SODA	104

