name	notes	category	ingredient	page
MILLIONAIRE COCKTAIL NO. 1		OR 3	RUM (BLENDED AGED)	175
MILLIONAIRE COCKTAIL NO. 1			GIN (SLOE)	175
BATIDA DE MARACUJA E COCO			PUREE (PASSION FRUIT)	175
BATIDA DE MARACUJA E COCO			COCONUT MILK	175
BATIDA DE MARACUJA E COCO	POT STILL AGED CACHAÇA		CACHAÇA	175
BATIDA DE MARACUJA E COCO			SWEETENED CONDENSED MILK	175
WRAY & TING			RUM (WRAY & NEPHEW WHITE OVERPROOF)	176
WRAY & TING			SODA (GRAPEFRUIT (TING))	176
HIBISCUS RUM PUNCH	SELTZER		SODA	176
HIBISCUS RUM PUNCH			JUICE (LIME)	176
HIBISCUS RUM PUNCH			LIQUEUR (HIBISCUS)	176
HIBISCUS RUM PUNCH			SYRUP (DEMERARA)	176
HIBISCUS RUM PUNCH	BLENDED AGED RUM (JAMAICA)	3	RUM (BLENDED AGED)	176
TI' PUNCH / TI' PUNCH VIEUX			SYRUP (MARTINIQUE SUGARCANE)	179
TI' PUNCH / TI' PUNCH VIEUX	CANE AOC MARTINIQUE RHUM AGRICOLE BLANC	7	RUM (CANE AOC MARTINIQUE RHUM AGRICOLE)	179
TI' PUNCH / TI' PUNCH VIEUX		OR 8	RUM (CANE AOC MARTINIQUE RHUM AGRICOLE VIEUX)	179
TI' PUNCH / TI' PUNCH VIEUX	LIME SMALL ROUNDED CHUNK		FRUIT (LIME)	179
BARBADOS RUM PUNCH			JUICE (LIME)	179
BARBADOS RUM PUNCH			SYRUP (DEMERARA)	179
BARBADOS RUM PUNCH	BLENDED AGED RUM (BARBADOS)	3	RUM (BLENDED AGED)	179
BARBADOS RUM PUNCH	ANGOSTURA BITTERS		BITTERS (AROMATIC)	179
JAMAICAN MILK PUNCH			MILK (WHOLE)	180
JAMAICAN MILK PUNCH			CREAM (HEAVY WHIPPING)	180
JAMAICAN MILK PUNCH			SYRUP (DEMERARA)	180
JAMAICAN MILK PUNCH	BLACK BLENDED RUM (JAMAICA)	5	RUM (BLACK BLENDED)	180
JAMAICAN MILK PUNCH			EXTRACT (VANILLA)	180
JAMAICAN MILK PUNCH	ANGOSTURA BITTERS		BITTERS (AROMATIC)	180
CORN AND OIL	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	180
CORN AND OIL	BLENDED AGED RUM (BARBADOS)	3	RUM (BLENDED AGED)	180
CORN AND OIL	ANGOSTURA BITTERS		BITTERS (AROMATIC)	180
QUEEN'S PARK SWIZZLE			LEAVES (MINT)	181
QUEEN'S PARK SWIZZLE			JUICE (LIME)	181
QUEEN'S PARK SWIZZLE			SYRUP (DEMERARA)	181
QUEEN'S PARK SWIZZLE		5	RUM (BLACK BLENDED)	181
QUEEN'S PARK SWIZZLE	ANGOSTURA BITTERS		BITTERS (AROMATIC)	181
HOUSE SPICED RUM		3	RUM (BLENDED AGED)	193
HOUSE SPICED RUM			SPICE (VANILLA BEAN)	193
HOUSE SPICED RUM	STRIP ORANGE PEEL		FRUIT (ORANGE)	193
HOUSE SPICED RUM	ALLSPICE BERRIES		SPICE (ALLSPICE)	193
HOUSE SPICED RUM	CINNAMON STICK		SPICE (CINNAMON)	193
HOUSE SPICED RUM	WHOLE CLOVES		SPICE (CLOVES)	193
HOUSE SPICED RUM	GRATED NUTMEG		SPICE (NUTMEG)	193
HOUSE SPICED RUM	WHOLE BLACK PEPERCORNS		SPICE (BLACK PEPERCORNS)	193
HOUSE SPICED RUM			SPICE (GINGER)	193
HOUSE SPICED RUM			SYRUP (DEMERARA)	193
THE CHADBURN			PORT (TAWNY)	201
THE CHADBURN	PEAR LIQUEUR (SUCH AS MATHILDE POIRE)		LIQUEUR (PEAR)	201
THE CHADBURN		3	RUM (BLENDED AGED)	201
THE CHADBURN	BITTERMENS XOCOLATL (CHOCOLATE) MOLE BITTERS		BITTERS (CHOCOLATE)	201
A WISH FOR GRACE			JUICE (LEMON)	201
A WISH FOR GRACE	2:1 SIMPLE SYRUP		SYRUP (RICH SIMPLE)	201
A WISH FOR GRACE	PIERRE FERRAND DRY CURACAO		LIQUEUR (ORANGE)	201
A WISH FOR GRACE		1	POT STILL LIGHTLY AGED RUM (NEW ENGLAND)	201
A WISH FOR GRACE	BLANDY'S 5 YEAR VERDELHO MADEIRA		MADEIRA	201
A WISH FOR GRACE	ANGOSTURA BITTERS		BITTERS (AROMATIC)	201
HOT BUTTERED RUM			HOT BUTTERED RUM BATTER	202
HOT BUTTERED RUM		3	RUM (BLENDED AGED)	202
HOT BUTTERED RUM			WATER HOT	202
HOT BUTTERED RUM BATTER	GROUND CINNAMON		SPICE (CINNAMON)	202
HOT BUTTERED RUM BATTER	GROUND NUTMEG		SPICE (NUTMEG)	202
HOT BUTTERED RUM BATTER	GROUND BLACK PEPPER		SPICE (BLACK PEPPER)	202
HOT BUTTERED RUM BATTER	GROUND CLOVES		SPICE (CLOVES)	202
HOT BUTTERED RUM BATTER	GROUND ALLSPICE		SPICE (ALLSPICE)	202
HOT BUTTERED RUM BATTER	GROUND ANISE SEED		SPICE (ANISE SEED)	202
HOT BUTTERED RUM BATTER			SALTED BUTTER	202
HOT BUTTERED RUM BATTER			PACKED GOLDEN BROWN SUGAR	202
HOT BUTTERED RUM BATTER	BRER RABBIT MIL MOLASSES		MOLASSES	202
HOT BUTTERED RUM BATTER			EXTRACT (VANILLA)	202
ABRICOT VIEUX	APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON)		LIQUEUR (APRICOT)	203
ABRICOT VIEUX		8	RUM (CANE AOC MARTINIQUE RHUM AGRICOLE VIEUX)	203
ABRICOT VIEUX	ANGOSTURA BITTERS		BITTERS (AROMATIC)	203
ABRICOT VIEUX			BITTERS (ORANGE)	203
PANIOLO OLD-FASHIONED			SYRUP (LI HING MUI)	203
PANIOLO OLD-FASHIONED		3	RUM (BLENDED AGED)	203
PANIOLO OLD-FASHIONED	ANGOSTURA BITTERS		BITTERS (AROMATIC)	203
PORT ROYAL			JUICE (LIME)	204
PORT ROYAL			SYRUP (JERK)	204
PORT ROYAL		2	RUM (BLENDED LIGHTLY AGED)	204
PORT ROYAL			RUM (WRAY & NEPHEW WHITE OVERPROOF)	204
PORT ROYAL			HELLFIRE TINCTURE	204
KINGSTON PALAKA			JUICE (LEMON)	204
KINGSTON PALAKA			LI HING MUI POWDER	204
KINGSTON PALAKA			LIQUEUR (DRAMBUIE)	204
KINGSTON PALAKA	BLENDED AGED RUM (JAMAICA)	3	RUM (BLENDED AGED)	204
DONN DAY AFTERNOON			JUICE (LIME)	206
DONN DAY AFTERNOON			SYRUP (CINNAMON)	206
DONN DAY AFTERNOON	STIEGL-RADLER GRAPEFRUIT BEER		BEER (GRAPEFRUIT)	206
DONN DAY AFTERNOON	CANE AOC MARTINIQUE RHUM AGRICOLE BLANC	7	RUM (CANE AOC MARTINIQUE RHUM AGRICOLE)	206
BAIE DU GALION			LIQUEUR (CHARTREUSE GREEN)	206
BAIE DU GALION			LIQUEUR (DRAMBUIE)	206
BAIE DU GALION	CANE AOC MARTINIQUE RHUM AGRICOLE BLANC	7	RUM (CANE AOC MARTINIQUE RHUM AGRICOLE)	206
AGRICOLE GUAVA COOLER	BUNDABERG GUAVA SODA		SODA (GUAVA)	209
AGRICOLE GUAVA COOLER			JUICE (LIME)	209
AGRICOLE GUAVA COOLER	LICOR 43 SPICED LIQUEUR		LIQUEUR (LICOR 43)	209
AGRICOLE GUAVA COOLER	CANE AOC MARTINIQUE RHUM AGRICOLE BLANC	7	RUM (CANE AOC MARTINIQUE RHUM AGRICOLE)	209
AGRICOLE GUAVA COOLER	ANGOSTURA BITTERS		BITTERS (AROMATIC)	209
RICHARD SEALEBACH	PIERRE FERRAND DRY CURACAO		LIQUEUR (ORANGE)	209
RICHARD SEALEBACH			RUM (R.L. SEALE 10 YEAR)	209
RICHARD SEALEBACH	ANGOSTURA BITTERS		BITTERS (AROMATIC)	209
RICHARD SEALEBACH	PEYCHAUD'S		BITTERS (CREOLE)	209
RICHARD SEALEBACH			WINE (SPARKLING) (CHAMPAGNE)	209
COSA NOSTRA #2			JUICE (LEMON)	210
COSA NOSTRA #2			AMARO (AVERNA)	210
COSA NOSTRA #2		2	RUM (BLENDED LIGHTLY AGED)	210
COSA NOSTRA #2	ANGOSTURA BITTERS		BITTERS (AROMATIC)	210
COSA NOSTRA #2	GINGER ALE		SODA (GINGER)	210
SPONTANEOUS RUMBUSTION			JUICE (LEMON)	210
SPONTANEOUS RUMBUSTION			SYRUP (HONEY)	210
SPONTANEOUS RUMBUSTION		6	RUM (BLACK BLENDED OVERPROOF)	210
SPONTANEOUS RUMBUSTION		1	POT STILL LIGHTLY AGED RUM (OVERPROOF)	210
SPONTANEOUS RUMBUSTION			WATER BOILING	210
BOO LOO	(1-INCH-SQUARE) CHUNKS PINEAPPLE		FRUIT (PINEAPPLE)	249
BOO LOO			JUICE (PINEAPPLE)	249
BOO LOO			JUICE (LIME)	249
BOO LOO			SYRUP (HONEY)	249
BOO LOO		3	RUM (BLENDED AGED)	249
BOO LOO		4	RUM (COLUMN STILL AGED)	249
BOO LOO		5	RUM (BLACK BLENDED)	249
BOO LOO		6	RUM (BLACK BLENDED OVERPROOF)	249
BOO LOO	SELTZER		SODA	249
CARIBEÑO			COCONUT WATER	249
CARIBEÑO			SYRUP (DEMERARA)	249
CARIBEÑO			RUM (COLUMN STILL LIGHTLY AGED)	249
CARIBEÑO		OR	GIN (LONDON DRY)	249
MONK'S RESPITE			COCONUT WATER	251
MONK'S RESPITE			JUICE (LEMON)	251
MONK'S RESPITE			SYRUP (HONEY)	251
MONK'S RESPITE			LIQUEUR (YELLOW CHARTREUSE)	251
MONK'S RESPITE			GIN (BROKER'S)	251
MONK'S RESPITE	SELTZER		SODA	251
MONK'S RESPITE			BITTERS (ORANGE)	251
THE MASTADON			JUICE (PINEAPPLE)	251
THE MASTADON			JUICE (LIME)	251
THE MASTADON			PUREE (PASSION FRUIT)	251
THE MASTADON			LIQUEUR (LICOR 43)	251
THE MASTADON			LIQUEUR (MARASCHINO)	251
THE MASTADON		3	RUM (BLENDED AGED)	251
THE MASTADON			WHISKEY (BOURBON)	251
THE MASTADON	PEYCHAUD'S BITTERS		BITTERS (CREOLE)	251
PIÑATA			JUICE (PINEAPPLE)	252
PIÑATA			JUICE (LEMON)	252
PIÑATA			SYRUP (DEMERARA)	252
PIÑATA			LIQUEUR (GINGER)	252
PIÑATA	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	252
PIÑATA		5	RUM (BLACK BLENDED)	252
PIÑATA		2	RUM (BLENDED LIGHTLY AGED)	252
BUMBOAT			JUICE (PINEAPPLE)	252
BUMBOAT			JUICE (LEMON)	252
BUMBOAT			SYRUP (CINNAMON)	252
BUMBOAT			WHISKEY (RYE)	252
BUMBOAT		2	RUM (BLENDED LIGHTLY AGED)	252
BUMBOAT			EXTRACT (ALMOND)	252
BUMBOAT	BITTERMENS 'ELEMAKULE TIKI BITTERS		BITTERS (TIKI)	252
BUMBOAT		6	RUM (BLACK BLENDED OVERPROOF)	252
PLANTER'S PUNCH			JUICE (LIME)	258
PLANTER'S PUNCH			SYRUP (DEMERARA)	258
PLANTER'S PUNCH	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	258
PLANTER'S PUNCH	BLENDED AGED RUM (JAMAICA)	3	RUM (BLENDED AGED)	258
PLANTER'S PUNCH	ANGOSTURA BITTERS		BITTERS (AROMATIC)	258
MAI TAI			JUICE (LIME)	261
MAI TAI			SYRUP (MAI TAI RICH SIMPLE)	261
MAI TAI	ORGEAT		SYRUP (ALMOND)	261
MAI TAI	PIERRE FERRAND DRY CURACAO		LIQUEUR (ORANGE)	261
MAI TAI		3	RUM (BLENDED AGED)	261
DOCTOR FUNK			JUICE (LEMON)	266
DOCTOR FUNK			SYRUP (GRENADINE)	266
DOCTOR FUNK			JUICE (LIME)	266
DOCTOR FUNK	DEMERARA SIMPLE SYRUP		SYRUP (DEMERARA)	266
DOCTOR FUNK			ABSINTHE (HERBSAINT)	266
DOCTOR FUNK			RUM (BLACK POT STILL UNAGED)	266
DOCTOR FUNK	SELTZER		SODA	266
ZOMBIE			JUICE (LIME)	268
ZOMBIE			JUICE (GRAPEFRUIT)	268
ZOMBIE			SYRUP (CINNAMON)	268
ZOMBIE			SYRUP (GRENADINE)	268
ZOMBIE	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	268
ZOMBIE		3	RUM (BLENDED AGED)	268
ZOMBIE		4	RUM (COLUMN STILL AGED)	268
ZOMBIE		6	RUM (BLACK BLENDED OVERPROOF)	268
ZOMBIE			BITTERS (HERBSTURA)	268
NAVY GROG			JUICE (LIME)	271
NAVY GROG			JUICE (GRAPEFRUIT)	271
NAVY GROG			SYRUP (DEMERARA)	271
NAVY GROG	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	271
NAVY GROG		1	POT STILL LIGHTLY AGED RUM (OVERPROOF)	271
NAVY GROG		2	RUM (BLENDED LIGHTLY AGED)	271
NAVY GROG		4	RUM (COLUMN STILL AGED)	271
SCORPION			JUICE (LIME)	272
SCORPION			JUICE (ORANGE)	272
SCORPION			SYRUP (DEMERARA)	272
SCORPION	ORGEAT		SYRUP (ALMOND)	272
SCORPION			BRANDY (GRAPE)	272
SCORPION			GIN (LONDON DRY)	272
SCORPION		2	RUM (BLENDED LIGHTLY AGED)	272
FOG CUTTER			JUICE (LEMON)	275
FOG CUTTER			JUICE (ORANGE)	275
FOG CUTTER	ORGEAT		SYRUP (ALMOND)	275
FOG CUTTER			BRANDY (PISCO)	275
FOG CUTTER			GIN	275
FOG CUTTER		2	RUM (BLENDED LIGHTLY AGED)	275
FOG CUTTER			SHERRY (OLOROSO)	275
SINGAPORE SLING	SELTZER		SODA	276
SINGAPORE SLING			JUICE (LEMON)	276
SINGAPORE SLING			SYRUP (DEMERARA)	276
SINGAPORE SLING			LIQUEUR (CHERRY HEERING)	276
SINGAPORE SLING			LIQUEUR (BENEDICTINE)	276
SINGAPORE SLING			GIN (LONDON DRY)	276
SINGAPORE SLING	ANGOSTURA BITTERS		BITTERS (AROMATIC)	276
SINGAPORE SLING			BITTERS (ORANGE)	276
HONDO HATTIE'S JUNGLE PUNCH!			JUICE (LEMON)	311
HONDO HATTIE'S JUNGLE PUNCH!			SYRUP (HONEY)	311
HONDO HATTIE'S JUNGLE PUNCH!	BLUE CURACAO		LIQUEUR (ORANGE BLUE)	311
HONDO HATTIE'S JUNGLE PUNCH!			PORT (TAWNY)	311
HONDO HATTIE'S JUNGLE PUNCH!	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	311
HONDO HATTIE'S JUNGLE PUNCH!	PEAR LIQUEUR (SUCH AS MATHILDE POIRE)		LIQUEUR (PEAR)	311
HONDO HATTIE'S JUNGLE PUNCH!		3	RUM (BLENDED AGED)	311
HONDO HATTIE'S JUNGLE PUNCH!	ANGOSTURA BITTERS		BITTERS (AROMATIC)	311
KAHIKO PUNCH			JUICE (LEMON)	311
KAHIKO PUNCH			SYRUP (PASSION FRUIT HONEY)	311
KAHIKO PUNCH			SYRUP (CINNAMON)	311
KAHIKO PUNCH			LIQUEUR (HIBISCUS)	311
KAHIKO PUNCH			RUM (POT STILL UNAGED)	311
KAHIKO PUNCH	BITTERMENS 'ELEMAKULE TIKI BITTERS		BITTERS (TIKI)	311
TRIUMVIRATE PUNCH			JUICE (LIME)	312
TRIUMVIRATE PUNCH			SYRUP (PASSION FRUIT HONEY)	312
TRIUMVIRATE PUNCH	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	312
TRIUMVIRATE PUNCH			RUM (POT STILL UNAGED)	312
TRIUMVIRATE PUNCH	ANGOSTURA BITTERS		BITTERS (AROMATIC)	312
TRIUMVIRATE PUNCH	GRATED NUTMEG		SPICE (NUTMEG)	312
EUREKA PUNCH			JUICE (LEMON)	312
EUREKA PUNCH			SYRUP (HONEY)	312
EUREKA PUNCH			LIQUEUR (YELLOW CHARTREUSE)	312
EUREKA PUNCH		4	RUM (COLUMN STILL AGED)	312
EUREKA PUNCH	ANGOSTURA BITTERS		BITTERS (AROMATIC)	312
EUREKA PUNCH	GINGER ALE		SODA (GINGER)	312
YULETIDAL WAVE			JUICE (PINEAPPLE)	313
YULETIDAL WAVE			JUICE (LEMON)	313
YULETIDAL WAVE	PEAR LIQUEUR (SUCH AS MATHILDE POIRE)		LIQUEUR (PEAR)	313
YULETIDAL WAVE			LIQUEUR (LICOR 43)	313
YULETIDAL WAVE	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	313
YULETIDAL WAVE			BRANDY (GRAPE)	313
YULETIDAL WAVE			WHISKEY (BOURBON)	313
YULETIDAL WAVE		4	RUM (COLUMN STILL AGED)	313
RUMBUSTION PUNCH			JUICE (LIME)	313
RUMBUSTION PUNCH			SYRUP (DEMERARA)	313
RUMBUSTION PUNCH			SYRUP (CINNAMON)	313
RUMBUSTION PUNCH		3	RUM (BLENDED AGED)	313
RUMBUSTION PUNCH		2	RUM (BLENDED LIGHTLY AGED)	313
RUMBUSTION PUNCH			BITTERS (HERBSTURA)	313
PUKA PUNCH			JUICE (LIME)	318
PUKA PUNCH			JUICE (ORANGE)	318
PUKA PUNCH			JUICE (PINEAPPLE)	318
PUKA PUNCH			SYRUP (HONEY)	318
PUKA PUNCH			SYRUP (PASSION FRUIT)	318
PUKA PUNCH	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	318
PUKA PUNCH		3	RUM (BLENDED AGED)	318
PUKA PUNCH		2	RUM (BLENDED LIGHTLY AGED)	318
PUKA PUNCH		5	RUM (BLACK BLENDED)	318
PUKA PUNCH	ANGOSTURA BITTERS		BITTERS (AROMATIC)	318
PUKA PUNCH		6	RUM (BLACK BLENDED OVERPROOF)	318
