name	notes	category	ingredient	page
TREE DOTS AND A DASH	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	43
TREE DOTS AND A DASH		8	RUM (CANE AOC MARTINIQUE RHUM AGRICOLE VIEUX)	43
TREE DOTS AND A DASH		3	RUM (BLENDED AGED)	43
TREE DOTS AND A DASH	ANGOSTURA BITTERS		BITTERS (AROMATIC)	43
MEXICAN EL DIABLO	LIME WEDGE		FRUIT (LIME)	43
MEXICAN EL DIABLO			JUICE (LIME)	43
MEXICAN EL DIABLO			LIQUEUR (CRÈME DE CASSIS)	43
MEXICAN EL DIABLO			TEQUILA (BLANCO)	43
MEXICAN EL DIABLO	GINGER ALE		SODA (GINGER)	43
PORT LIGHT			EGG (WHITE)	44
PORT LIGHT			WHISKEY (BOURBON)	44
PORT LIGHT			JUICE (LEMON)	44
PORT LIGHT			SYRUP (HONEY)	44
PORT LIGHT			SYRUP (PASSION FRUIT)	44
DEMERARA DRY FLOAT		6	RUM (BLACK BLENDED OVERPROOF)	44
DEMERARA DRY FLOAT			JUICE (LIME)	44
DEMERARA DRY FLOAT			JUICE (LEMON)	44
DEMERARA DRY FLOAT			SYRUP (PASSION FRUIT)	44
DEMERARA DRY FLOAT			SYRUP (DEMERARA)	44
DEMERARA DRY FLOAT	LUXARDO MARASCHINO LIQUEUR		LIQUEUR (MARASCHINO)	44
DEMERARA DRY FLOAT		3	RUM (BLENDED AGED)	44
JET PILOT			JUICE (LIME)	61
JET PILOT			JUICE (GRAPEFRUIT)	61
JET PILOT			SYRUP (CINNAMON)	61
JET PILOT	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	61
JET PILOT		5	RUM (BLACK BLENDED)	61
JET PILOT		3	RUM (BLENDED AGED)	61
JET PILOT		6	RUM (BLACK BLENDED OVERPROOF)	61
JET PILOT			BITTERS (HERBSTURA)	61
HALEKULANI COCKTAIL			JUICE (LEMON)	61
HALEKULANI COCKTAIL			JUICE (ORANGE)	61
HALEKULANI COCKTAIL			JUICE (PINEAPPLE)	61
HALEKULANI COCKTAIL			SYRUP (DEMERARA)	61
HALEKULANI COCKTAIL			SYRUP (GRENADINE)	61
HALEKULANI COCKTAIL			WHISKEY (BOURBON)	61
HALEKULANI COCKTAIL	ANGOSTURA BITTERS		BITTERS (AROMATIC)	61
SIDEWINDER'S FANG			GARNISH (SIDEWINDER'S FANG PEEL)	62
SIDEWINDER'S FANG			JUICE (LIME)	62
SIDEWINDER'S FANG			JUICE (ORANGE)	62
SIDEWINDER'S FANG			SYRUP (PASSION FRUIT)	62
SIDEWINDER'S FANG	SELTZER		SODA	62
SIDEWINDER'S FANG		3	RUM (BLENDED AGED)	62
SIDEWINDER'S FANG		5	RUM (BLACK BLENDED)	62
HAWAIIN SUNSET			JUICE (LIME)	62
HAWAIIN SUNSET			JUICE (LEMON)	62
HAWAIIN SUNSET	ORGEAT		SYRUP (ALMOND)	62
HAWAIIN SUNSET			SYRUP (GRENADINE)	62
HAWAIIN SUNSET			VODKA	62
CAPTAIN'S GROG			JUICE (LIME)	65
CAPTAIN'S GROG			JUICE (GRAPEFRUIT)	65
CAPTAIN'S GROG			SYRUP (MAPLE)	65
CAPTAIN'S GROG			EXTRACT (VANILLA)	65
CAPTAIN'S GROG			EXTRACT (ALMOND)	65
CAPTAIN'S GROG	SELTZER		SODA	65
